"ship_city","ship_country","ship_region"
"Luleå","Sweden",NULL
"Charleroi","Belgium",NULL
"Vancouver","Canada","BC"
"Montréal","Canada","Québec"
"Cork","Ireland","Co. Cork"
"Münster","Germany",NULL
"Versailles","France",NULL
"Strasbourg","France",NULL
"Oulu","Finland",NULL
"Lander","USA","WY"
"Genève","Switzerland",NULL
"Nantes","France",NULL
"Buenos Aires","Argentina",NULL
"Kirkland","USA","WA"
"Albuquerque","USA","NM"
"Boise","USA","ID"
"Tsawassen","Canada","BC"
"Paris","France",NULL
"Butte","USA","MT"
"Stuttgart","Germany",NULL
"Graz","Austria",NULL
"Cowes","UK","Isle of Wight"
"Seattle","USA","WA"
"Torino","Italy",NULL
"Bräcke","Sweden",NULL
"San Cristóbal","Venezuela","Táchira"
"Leipzig","Germany",NULL
"Brandenburg","Germany",NULL
"Sevilla","Spain",NULL
"Bergamo","Italy",NULL
"Portland","USA","OR"
"Resende","Brazil","SP"
"Stavern","Norway",NULL
"London","UK",NULL
"Reggio Emilia","Italy",NULL
"Sao Paulo","Brazil","SP"
"Cunewalde","Germany",NULL
"Berlin","Germany",NULL
"Lille","France",NULL
"Reims","France",NULL
"I. de Margarita","Venezuela","Nueva Esparta"
"Helsinki","Finland",NULL
"Kobenhavn","Denmark",NULL
"Barquisimeto","Venezuela","Lara"
"Aachen","Germany",NULL
"Barcelona","Spain",NULL
"Rio de Janeiro","Brazil","RJ"
"Århus","Denmark",NULL
"Bern","Switzerland",NULL
"México D.F.","Mexico",NULL
"Lisboa","Portugal",NULL
"Colchester","UK","Essex"
"Marseille","France",NULL
"Madrid","Spain",NULL
"Warszawa","Poland",NULL
"Frankfurt a.M.","Germany",NULL
"Salzburg","Austria",NULL
"München","Germany",NULL
"Caracas","Venezuela","DF"
"Lyon","France",NULL
"Bruxelles","Belgium",NULL
"Toulouse","France",NULL
"Mannheim","Germany",NULL
"Campinas","Brazil","SP"
"Eugene","USA","OR"
"Köln","Germany",NULL
"San Francisco","USA","CA"
"Anchorage","USA","AK"
"Walla Walla","USA","WA"
"Elgin","USA","OR"
